,1
0,0.521801217
1,0.345366362
2,0.570410661
3,0.497147329
4,0.245283909
5,0.625897036
6,0.40409917
7,0.683798758
8,0.560298715
9,0.514685551
10,0.331637558
11,0.617606211
12,0.482882933
13,0.68739086
14,0.35959356
15,0.152445671
16,0.356941558
17,0.408689392
18,0.370053393
19,0.580427152
20,0.402963534
21,0.339866125
22,0.427033041
23,0.546028576
24,0.683049591
25,0.523638637
26,0.605558785
27,0.48683225
28,0.700164538
29,0.419166816
30,0.595754746
31,0.3172746
32,0.602140416
33,0.395028584
34,0.484099319
35,0.543969764
36,0.521761756
37,0.349450743
38,0.318097118
39,0.354113964
40,0.284709923
41,0.240825147
42,0.319704047
43,0.562634231
44,0.640647673
45,0.37364547
46,0.495227281
47,0.565252754
48,0.625554836
49,0.546087426
50,0.186905057
51,0.562818958
52,0.638309546
53,0.630969899
54,0.384813045
55,0.58170531
56,0.542743598
57,0.553158591
58,0.599219825
59,0.621987492
60,0.502333933
61,0.416198474
62,0.355621272
63,0.614631665
64,0.611150099
65,0.515135928
66,0.549512561
67,0.448812227
68,0.29196551
69,0.603184028
70,0.307461695
71,0.294441099
72,0.40979
73,0.601927418
74,0.415315888
75,0.548413018
76,0.35116484
77,0.637034738
78,0.523970997
79,0.693306695
80,0.430341181
81,0.546460917
82,0.527663165
83,0.580799003
84,0.616935638
85,0.578837021
86,0.23996238
87,0.479078515
88,0.61254561
89,0.610454693
90,0.509392721
91,0.363696588
92,0.583691622
93,0.644436543
94,0.699862848
95,0.646099377
96,0.489770763
97,0.510047793
98,0.450931027
99,0.649406131
100,0.259209438
101,0.560442114
102,0.277610055
103,0.321826463
104,0.440997658
105,0.391227601
106,0.570935522
107,0.561023821
108,0.488753623
109,0.578925747
110,0.599103581
111,0.580756352
112,0.296040279
113,0.497903144
114,0.370739808
115,0.419471561
116,0.38137593
117,0.457288434
118,0.517370254
119,0.333997904
120,0.41521702
121,0.597617201
122,0.513831897
123,0.515416903
124,0.51942316
125,0.613570477
126,0.523755095
127,0.394791197
128,0.331327214
129,0.563520093
130,0.325218525
131,0.684684047
132,0.438040249
133,0.562535979
134,0.414188312
135,0.382011293
136,0.627457155
137,0.608511984
138,0.542976022
139,0.520156212
140,0.572779425
141,0.431728212
142,0.430843158
143,0.563173194
144,0.518012602
145,0.560457508
146,0.40943612
147,0.629864298
148,0.504860431
149,0.65548691
150,0.658312768
151,0.662153596
152,0.610639618
153,0.60851414
154,0.483150571
155,0.606334515
156,0.432342372
157,0.473897635
158,0.598499797
159,0.579479332
160,0.248769853
161,0.520007013
162,0.648930989
163,0.525562024
164,0.385220517
165,0.375157794
166,0.296938395
167,0.440237291
168,0.605859254
169,0.648812984
170,0.59834655
171,0.418766771
172,0.535892941
173,0.481315261
174,0.533719167
175,0.651711015
176,0.501305139
177,0.579902716
178,0.427140637
179,0.603211802
180,0.437253566
181,0.585302372
182,0.694357175
183,0.550585054
184,0.459807432
185,0.603160342
186,0.653512032
187,0.51125892
188,0.423969786
189,0.677906518
190,0.579367236
191,0.602884542
192,0.582109585
193,0.320230275
194,0.699781256
195,0.278180688
196,0.48094681
197,0.526697608
198,0.545455053
199,0.516638891
200,0.515239337
201,0.485884631
202,0.424767355
203,0.396955446
204,0.457996042
205,0.234224896
206,0.518987467
207,0.540841263
208,0.590794891
209,0.595328993
210,0.338723213
211,0.473908084
212,0.553766683
213,0.598568562
214,0.541743817
215,0.713784687
216,0.396855548
217,0.56598362
218,0.368816055
219,0.400103462
220,0.621168878
221,0.429519732
222,0.673777583
223,0.413099935
224,0.467562539
225,0.61321997
226,0.288255967
227,0.535778699
228,0.609285143
229,0.366030448
230,0.488301701
231,0.406947073
232,0.601020094
233,0.631180658
234,0.483072332
235,0.524720896
236,0.645298929
237,0.440740849
238,0.553546127
239,0.48575425
240,0.656609388
241,0.419897864
242,0.346796123
243,0.323788637
244,0.531038322
245,0.587619634
246,0.387750038
247,0.525413076
248,0.44204142
249,0.423660072
250,0.415984197
251,0.65880309
252,0.645179483
253,0.186041327
254,0.537652572
255,0.555041019
256,0.564675602
257,0.53045186
258,0.33404788
259,0.592397627
260,0.48884402
261,0.594464068
262,0.379839218
263,0.585892544
264,0.315495113
265,0.599204518
266,0.383464741
267,0.597688263
268,0.609835447
269,0.37822496
270,0.529635105
271,0.466826932
272,0.404176935
273,0.21141811
274,0.583304267
275,0.542470054
276,0.607338845
277,0.471381207
278,0.206586299
279,0.274396192
280,0.444065327
281,0.465830762
282,0.580202021
283,0.506903255
284,0.462366422
285,0.510114508
286,0.314298896
287,0.41699653
288,0.595344661
289,0.496391107
290,0.683252121
291,0.30770862
292,0.617548062
293,0.30802911
294,0.424975505
295,0.647504775
296,0.358067967
297,0.569214129
298,0.606760627
299,0.650028368
300,0.24896591
301,0.633926471
302,0.465438645
303,0.610790634
304,0.518621795
305,0.622833786
306,0.42421639
307,0.665841663
308,0.676535255
309,0.608164567
310,0.290669596
311,0.281982138
312,0.637545617
313,0.46811675
314,0.290742303
315,0.482712368
316,0.235634386
317,0.426461119
318,0.509757478
319,0.563622815
320,0.545385941
321,0.637710852
322,0.556570139
323,0.606564547
324,0.349548722
325,0.653073889
326,0.430272411
327,0.638421446
328,0.566393191
329,0.379355212
330,0.375461163
331,0.601055554
332,0.608972067
333,0.542052633
334,0.521771878
335,0.451370042
336,0.353982566
337,0.583809591
338,0.610224294
339,0.501482767
340,0.457715319
341,0.472978459
342,0.475654405
343,0.475266211
344,0.681976944
345,0.655988064
346,0.631690097
347,0.623126983
348,0.405876622
349,0.53482102
350,0.581809044
351,0.565707207
352,0.662270133
353,0.437542664
354,0.526184493
355,0.633638323
356,0.559955419
357,0.320400619
358,0.542747766
359,0.300869652
360,0.498284833
361,0.359876632
362,0.582179899
363,0.190299312
364,0.473090208
365,0.359179981
366,0.63375286
367,0.463103149
368,0.346339172
369,0.570213982
370,0.327273607
371,0.560843348
372,0.566710479
373,0.349419829
374,0.520691884
375,0.390900492
376,0.678310482
377,0.538592424
378,0.595844338
379,0.539166
380,0.479890139
381,0.314092635
382,0.307906381
383,0.577928805
384,0.220260587
385,0.393288172
386,0.197958688
387,0.257433745
388,0.702817002
389,0.441837666
390,0.357131415
391,0.654359477
392,0.487879575
393,0.356413268
394,0.415396778
395,0.296808698
396,0.601411674
397,0.49148019
398,0.486702732
399,0.472766558
400,0.594107857
401,0.382236145
402,0.438668655
403,0.593429879
404,0.584719545
405,0.565543469
406,0.466481676
407,0.615826884
408,0.67059694
409,0.531162187
410,0.600745267
411,0.390181789
412,0.421450945
413,0.617689001
414,0.666412991
415,0.539355313
416,0.613903161
417,0.59509755
418,0.351744396
419,0.542727319
420,0.59832516
421,0.689228128
422,0.426633377
423,0.676476815
424,0.397119972
425,0.37697722
426,0.535096391
427,0.272495469
428,0.625196699
429,0.272322199
430,0.500747351
431,0.509572954
432,0.648152062
433,0.263819578
434,0.284528138
435,0.573684221
436,0.626125828
437,0.571717932
438,0.48681311
439,0.565487205
440,0.181294482
441,0.385100428
442,0.657056027
443,0.497802816
444,0.32730078
445,0.634182733
446,0.485099984
447,0.251737671
448,0.591889316
449,0.61212871
450,0.604239074
451,0.356204991
452,0.715830566
453,0.496245943
454,0.480275185
455,0.290420238
456,0.594295356
457,0.364724687
458,0.616216815
459,0.454967678
460,0.425257334
461,0.54548973
462,0.356917698
463,0.624156509
464,0.641377371
465,0.300742706
466,0.349571208
467,0.524200861
468,0.445359871
469,0.468176626
470,0.542429252
471,0.528466281
472,0.417560991
473,0.537576027
474,0.260011664
475,0.346616181
476,0.534651154
477,0.352646278
478,0.464665158
479,0.391164966
480,0.255352013
481,0.33277432
482,0.544384712
483,0.425187137
484,0.598203534
485,0.588330657
486,0.399539578
487,0.53921263
488,0.687085588
489,0.688255316
490,0.61327757
491,0.616877585
492,0.543574619
493,0.424259196
494,0.658451993
495,0.59522402
496,0.682998091
497,0.639426515
498,0.202600375
499,0.473097329
500,0.464007106
501,0.224888878
502,0.563274764
503,0.524526818
504,0.533263732
505,0.493417955
506,0.434578461
507,0.476086861
508,0.667789091
509,0.539389621
510,0.36928186
511,0.388347004
512,0.522426869
513,0.530202224
514,0.640403602
515,0.494193743
516,0.515237372
517,0.495228702
518,0.553774685
519,0.568576771
520,0.677757258
521,0.322274167
522,0.545293328
523,0.470211213
524,0.306951895
525,0.525993297
526,0.277045737
527,0.52491228
528,0.411241114
529,0.316957729
530,0.553318529
531,0.515804499
532,0.468143911
533,0.579221865
534,0.430924389
535,0.584305783
536,0.399023451
537,0.630571244
538,0.483240446
539,0.552220785
540,0.586166235
541,0.321338908
542,0.482242183
543,0.588772104
544,0.469518249
545,0.515492101
546,0.398679644
547,0.592881321
548,0.243143075
549,0.347589279
550,0.624394306
551,0.438261942
552,0.337427047
553,0.528117087
554,0.378624269
555,0.496297258
556,0.48223437
557,0.495140293
558,0.492677439
559,0.492494362
560,0.487013291
561,0.528354407
562,0.471581405
563,0.499278307
564,0.537189049
565,0.61169111
566,0.405995743
567,0.570329956
568,0.487272097
569,0.671380154
570,0.632356015
571,0.408183784
572,0.353809534
573,0.251016218
574,0.623643719
575,0.551269109
576,0.35221944
577,0.430872842
578,0.546995296
579,0.586648507
580,0.698828929
581,0.538094605
582,0.524013315
583,0.584909078
584,0.491655703
585,0.318131693
586,0.53610384
587,0.715278404
588,0.22490465
