,1
0,0.17714278
1,0.9896249
2,0.98856854
3,0.9842576
4,0.9760395
5,0.99904245
6,0.998099
7,0.9980592
8,0.95854163
9,0.994985
10,0.97937864
11,0.970781
12,0.2635281
13,0.91661614
14,0.9371476
15,0.773136
16,0.99363023
17,0.9928443
18,0.99661297
19,0.9946267
20,0.9959222
21,0.18307468
22,0.946592
23,0.98741025
24,0.9975712
25,0.9936841
26,0.9883597
27,0.07888411
28,0.99776554
29,0.9969537
30,0.9925081
31,0.99807286
32,0.96764785
33,0.96714836
34,0.36170903
35,0.93167436
36,0.99857473
37,0.9985991
38,0.5804234
39,0.28678435
40,0.99724257
41,0.99000776
42,0.4781426
43,0.94377965
44,0.9948244
45,0.9923963
46,0.99678206
47,0.9926507
48,0.99588376
49,0.99938905
50,0.9365326
51,0.9884099
52,0.69353956
53,0.99621445
54,0.7012725
55,0.40175125
56,0.6485868
57,0.9410882
58,0.9559259
59,0.27313843
60,0.97869337
61,0.2730303
62,0.9663217
63,0.99736565
64,0.982101
65,0.98871136
66,0.99941444
67,0.9896172
68,0.99961275
69,0.9470825
70,0.84037584
71,0.99895453
72,0.97486806
73,0.99631006
74,0.9877703
75,0.99303037
76,0.99461514
77,0.9955354
78,0.99336195
79,0.87621856
80,0.9924353
81,0.92317665
82,0.99981195
83,0.9624292
84,0.9978707
85,0.93594706
86,0.82815236
87,0.9706439
88,0.9985775
89,0.99579406
90,0.9207332
91,0.93036187
92,0.9805612
93,0.9824279
94,0.98155135
95,0.9703939
96,0.92646104
97,0.979329
98,0.992224
99,0.9992501
100,0.9907879
101,0.9854816
102,0.9982664
103,0.74953556
104,0.9985958
105,0.49202043
106,0.99951255
107,0.9927804
108,0.9967135
109,0.9819656
110,0.99390334
111,0.9467772
112,0.995421
113,0.99672747
114,0.42516616
115,0.8615101
116,0.8908632
117,0.9987398
118,0.9943242
119,0.7847769
120,0.99631053
121,0.9998479
122,0.9944495
123,0.6547685
124,0.9964179
125,0.9112853
126,0.9752447
127,0.17472273
128,0.989349
129,0.9174042
130,0.98966426
131,0.9975331
132,0.99630475
133,0.97061366
134,0.9943169
135,0.98724407
136,0.99627906
137,0.80640197
138,0.9042036
139,0.99972445
140,0.9908832
141,0.9145216
142,0.98077375
143,0.90504134
144,0.9994504
145,0.8887578
146,0.023910299
147,0.8793086
148,0.9935017
149,0.9962184
150,0.995436
151,0.9828105
152,0.051181387
153,0.9946373
154,0.9670174
155,0.9979418
156,0.89322954
157,0.99941194
158,0.37787408
159,0.9825005
160,0.94872785
161,0.99978477
162,0.998618
163,0.5483711
164,0.98847467
165,0.9134175
166,0.18527758
167,0.9951934
168,0.9982949
169,0.9973443
170,0.3517745
171,0.88827014
172,0.7445749
173,0.9825684
174,0.9774474
175,0.9995372
176,0.9980348
177,0.98365
178,0.9835892
179,0.9181955
180,0.89605826
181,0.4247653
182,0.99750143
183,0.74853915
184,0.9532612
185,0.9830814
186,0.9898206
187,0.9994036
188,0.71287525
189,0.9825256
190,0.9810099
191,0.9995407
192,0.9964324
193,0.9951351
194,0.9992368
195,0.99910635
196,0.3749502
197,0.8279238
198,0.999495
199,0.9973002
200,0.99313736
201,0.8491838
202,0.9865479
203,0.996366
204,0.9946891
205,0.7809018
206,0.99530196
207,0.9653638
208,0.99761826
209,0.96457136
210,0.9987668
211,0.98239386
212,0.9993311
213,0.9993962
214,0.83843136
215,0.9990465
216,0.51040196
217,0.99153227
218,0.99815696
219,0.94352615
220,0.9159113
221,0.98498595
222,0.99803156
223,0.83856136
224,0.95384926
225,0.9617915
226,0.8483901
227,0.9494392
228,0.964084
229,0.9917829
230,0.99956614
231,0.97472614
232,0.9890399
233,0.9728142
234,0.98254895
235,0.14749727
236,0.9487367
237,0.9790797
238,0.9157211
239,0.9333207
240,0.99086726
241,0.9458473
242,0.8567945
243,0.9673528
244,0.9909882
245,0.97224337
246,0.87965405
247,0.7448529
248,0.9172546
249,0.99396014
250,0.9958049
251,0.946462
252,0.9985831
253,0.99824274
254,0.9457203
255,0.88859475
256,0.99774617
